,Valor,Significado
0,1,00:01-02:00
1,2,02:01-04:00
2,3,04:01-06:00
3,4,06:01-08:00
4,5,08:01-10:00
5,6,10:01-12:00
6,7,12:01-14:00
7,8,14:01-16:00
8,9,16:01-18:00
9,10,18:01-20:00
10,11,20:01-22:00
11,12,22:01-24:00
12,99,No declarado
