,Valor,Significado
0,1,6 - 9
1,2,10 - 14
2,3,15 - 19
3,4,20 - 24
4,5,25 - 29
5,6,30 - 34
6,7,35 - 39
7,8,40 - 44
8,9,45 - 49
9,10,50 - 54
10,11,55 - 59
11,12,60 - 64
12,13,65 y más
13,99,No declarado
