,Valor,Significado
0,1,Región Cibao Norte
1,2,Región Cibao Sur
2,3,Región Cibao Nordeste
3,4,Región Cibao Noroeste
4,5,Región Valdesia
5,6,Región Enriquillo
6,7,Región El Valle
7,8,Región Yuma
8,9,Región Higuamo
9,10,Región Ozama
10,99,No declarada
